Episode,Mean Score,Std Dev
1,12.0,2.943920288775949
2,24.666666666666668,11.115554667022044
3,32.333333333333336,14.055445761538678
4,12.666666666666666,1.247219128924647
5,26.0,12.328828005937952
6,10.666666666666666,0.9428090415820634
7,16.666666666666668,2.6246692913372702
8,17.666666666666668,4.189935029992178
9,21.333333333333332,18.856180831641268
10,13.0,5.656854249492381
11,13.0,4.242640687119285
12,9.666666666666666,0.9428090415820634
13,12.666666666666666,5.185449728701348
14,14.666666666666666,6.599663291074444
15,13.0,5.656854249492381
16,16.666666666666668,12.256517540566822
17,11.0,2.8284271247461903
18,19.666666666666668,12.364824660660938
19,28.333333333333332,18.696404883173546
20,25.666666666666668,19.48218559493661
21,32.333333333333336,28.85981442921782
22,23.666666666666668,19.344824171395878
23,25.333333333333332,11.897712198383164
24,23.333333333333332,11.32352516764202
25,30.666666666666668,25.197001585285676
26,73.0,65.82299496883036
27,49.0,23.25224003546038
28,48.666666666666664,38.784303812524755
29,68.33333333333333,32.065904356843305
30,47.666666666666664,30.554141381415967
31,48.0,37.85058343892029
32,65.66666666666667,59.01600536201081
33,91.33333333333333,37.985377303495206
34,117.0,47.07440918375928
35,194.33333333333334,40.5325657822064
36,100.0,55.86292748027682
37,179.66666666666666,53.01781671182707
38,149.0,40.431011200150145
39,189.0,73.92338376093635
40,179.0,53.85783756025363
41,192.0,101.95096860746347
42,185.33333333333334,44.75364665464579
43,148.33333333333334,68.47059385036924
44,164.66666666666666,46.80693206020759
45,198.66666666666666,78.14658590680011
46,226.33333333333334,75.41146390893687
47,210.0,55.97023018236272
48,271.6666666666667,22.425184255405547
49,213.33333333333334,72.69265590293301
50,278.3333333333333,87.33206105943503
51,265.3333333333333,55.553777749332426
52,262.0,17.048949136725895
53,304.3333333333333,43.083897481799646
54,327.6666666666667,122.6929319706541
55,379.0,104.9793630513477
56,266.6666666666667,82.7298145907642
57,300.6666666666667,86.84213007265285
58,296.3333333333333,102.41202186375494
59,288.6666666666667,141.756442142461
60,372.3333333333333,147.910633679785
61,303.3333333333333,105.01534279438516
62,387.6666666666667,158.86332350657767
63,393.3333333333333,150.84944665313012
64,408.3333333333333,129.63624321753372
65,481.6666666666667,25.927248643506744
66,400.0,141.4213562373095
67,404.6666666666667,134.82169294623506
68,423.3333333333333,108.42303978193729
69,475.6666666666667,34.41253001774532
70,482.0,25.45584412271571
71,442.6666666666667,81.08157757605746
72,324.6666666666667,124.11106137470405
73,407.0,131.52186130069785
74,489.6666666666667,14.613540144521982
75,500.0,0.0
76,476.6666666666667,32.99831645537222
77,500.0,0.0
78,413.6666666666667,122.09377088487722
79,500.0,0.0
80,500.0,0.0
81,500.0,0.0
82,500.0,0.0
83,500.0,0.0
84,500.0,0.0
85,500.0,0.0
86,500.0,0.0
87,500.0,0.0
88,500.0,0.0
89,500.0,0.0
90,480.6666666666667,27.34146220587984
91,491.6666666666667,11.785113019775793
92,500.0,0.0
93,500.0,0.0
94,500.0,0.0
95,500.0,0.0
96,487.0,18.384776310850235
97,422.3333333333333,109.83725334431037
98,500.0,0.0
99,410.0,127.27922061357856
100,500.0,0.0
101,438.6666666666667,86.73843182554982
102,430.0,98.99494936611666
103,482.6666666666667,24.51303508113365
104,415.6666666666667,119.26534376013103
105,466.0,48.08326112068523
106,500.0,0.0
107,500.0,0.0
108,500.0,0.0
109,448.6666666666667,72.59629620181889
110,416.0,118.79393923933998
111,500.0,0.0
112,458.6666666666667,58.45416057808793
113,431.3333333333333,97.10933128295252
114,464.0,50.91168824543142
115,500.0,0.0
116,500.0,0.0
117,500.0,0.0
118,500.0,0.0
119,500.0,0.0
120,500.0,0.0
121,500.0,0.0
122,500.0,0.0
123,500.0,0.0
124,500.0,0.0
125,500.0,0.0
126,467.0,46.66904755831214
127,500.0,0.0
128,500.0,0.0
129,500.0,0.0
130,500.0,0.0
131,500.0,0.0
132,500.0,0.0
133,500.0,0.0
134,500.0,0.0
135,500.0,0.0
136,500.0,0.0
137,500.0,0.0
138,500.0,0.0
139,500.0,0.0
140,500.0,0.0
141,500.0,0.0
142,500.0,0.0
143,500.0,0.0
144,417.0,117.37972567696688
145,500.0,0.0
146,500.0,0.0
147,500.0,0.0
148,500.0,0.0
149,500.0,0.0
150,500.0,0.0
151,500.0,0.0
152,500.0,0.0
153,500.0,0.0
154,500.0,0.0
155,500.0,0.0
156,500.0,0.0
157,500.0,0.0
158,500.0,0.0
159,430.3333333333333,98.52354484532562
160,500.0,0.0
161,500.0,0.0
162,466.6666666666667,47.14045207910317
163,500.0,0.0
164,500.0,0.0
165,500.0,0.0
166,500.0,0.0
167,500.0,0.0
168,500.0,0.0
169,500.0,0.0
170,500.0,0.0
171,448.3333333333333,73.06770072260991
172,500.0,0.0
173,500.0,0.0
174,500.0,0.0
175,500.0,0.0
176,439.3333333333333,85.79562278396776
177,500.0,0.0
178,500.0,0.0
179,500.0,0.0
180,500.0,0.0
181,500.0,0.0
182,500.0,0.0
183,476.0,33.94112549695428
184,500.0,0.0
185,463.0,52.32590180780452
186,438.3333333333333,87.20983634634086
187,471.0,41.012193308819754
188,471.6666666666667,40.069384267237695
189,500.0,0.0
190,500.0,0.0
191,500.0,0.0
192,500.0,0.0
193,500.0,0.0
194,500.0,0.0
195,500.0,0.0
196,500.0,0.0
197,500.0,0.0
198,500.0,0.0
199,500.0,0.0
200,486.0,19.79898987322333
201,500.0,0.0
202,500.0,0.0
203,500.0,0.0
204,500.0,0.0
205,500.0,0.0
206,500.0,0.0
207,500.0,0.0
208,500.0,0.0
209,500.0,0.0
210,500.0,0.0
211,500.0,0.0
212,500.0,0.0
213,500.0,0.0
214,500.0,0.0
215,478.3333333333333,30.64129385141706
216,394.6666666666667,148.963828569966
217,393.0,151.32085117392117
218,500.0,0.0
219,500.0,0.0
220,500.0,0.0
221,500.0,0.0
222,500.0,0.0
223,500.0,0.0
224,500.0,0.0
225,500.0,0.0
226,500.0,0.0
227,500.0,0.0
228,500.0,0.0
229,500.0,0.0
230,500.0,0.0
231,500.0,0.0
232,500.0,0.0
233,500.0,0.0
234,500.0,0.0
235,500.0,0.0
236,500.0,0.0
237,500.0,0.0
238,500.0,0.0
239,500.0,0.0
240,426.3333333333333,104.180399094818
241,410.3333333333333,126.80781609278753
242,500.0,0.0
243,500.0,0.0
244,500.0,0.0
245,462.0,53.74011537017761
246,500.0,0.0
247,500.0,0.0
248,445.0,77.78174593052023
249,500.0,0.0
250,500.0,0.0
251,500.0,0.0
252,499.6666666666667,0.4714045207910317
253,500.0,0.0
254,435.0,91.92388155425118
255,421.3333333333333,111.25146690668348
256,371.3333333333333,121.16196689647384
257,365.6666666666667,137.93798928826274
258,384.6666666666667,163.10596419369696
259,391.0,154.14927829866735
260,391.0,154.14927829866735
261,407.3333333333333,131.0504567799068
262,500.0,0.0
263,500.0,0.0
264,467.6666666666667,45.72623851673007
265,400.3333333333333,140.94995171651848
266,398.6666666666667,143.30697432047364
267,407.6666666666667,130.57905225911577
268,500.0,0.0
269,500.0,0.0
270,407.3333333333333,131.0504567799068
271,422.3333333333333,109.83725334431037
272,470.0,42.42640687119285
273,431.3333333333333,97.10933128295252
274,500.0,0.0
275,388.3333333333333,157.92051446499562
276,391.6666666666667,153.2064692570853
277,406.6666666666667,131.99326582148888
278,485.0,21.213203435596427
279,469.6666666666667,42.89781139198388
280,500.0,0.0
281,500.0,0.0
282,337.3333333333333,230.04540614602345
283,500.0,0.0
284,500.0,0.0
285,500.0,0.0
286,500.0,0.0
287,500.0,0.0
288,500.0,0.0
289,500.0,0.0
290,500.0,0.0
291,410.0,127.27922061357856
292,401.6666666666667,139.06433363335435
293,415.3333333333333,119.73674828092204
294,466.3333333333333,47.6118565998942
295,500.0,0.0
296,491.6666666666667,11.785113019775793
297,500.0,0.0
298,426.3333333333333,104.180399094818
299,336.3333333333333,231.45961970839656
300,336.3333333333333,231.45961970839656
