scoreSAC,scorePPO
-36.2,-95.18162535702506
-30.8,-64.63498091917498
-31.9,-48.721289378647576
-30.4,-33.4649766330698
-31.4,-24.891302823246548
-31.4,-21.146782344466978
-31.0,-17.744488148470822
-30.6,-16.126336157183385
-32.5,-14.061056731102997
-31.2,-13.382720504974525
-31.8,-12.464891528330245
-31.6,-13.015092144308355
-30.0,-13.395021540022244
-31.1,-14.274645998108351
-31.5,-13.114495660165375
-32.3,-14.570004043104348
-31.0,-14.333404362273242
-31.7,-13.471469425211083
-31.7,-14.22401659146406
-31.1,51.73680844615444
-32.6,78.97099552530085
-30.1,82.00455648465982
-31.3,75.66808724291928
-32.0,89.9970047449147
-29.5,73.20328949471002
-31.0,72.37068928091182
-31.8,91.14155156104547
-31.4,74.57199206304037
-33.0,62.39759760243389
-30.0,88.62608434074546
-32.8,79.89650331763515
-32.4,82.37059057098992
-31.9,83.11356109242078
-30.4,92.40576425635136
-30.4,79.95937054012646
-30.8,89.71644047468726
-30.6,83.3810017658341
-32.8,85.25536661409495
-30.2,89.03579889016956
-29.4,91.31702991636058
-31.8,76.62078403001415
-29.6,87.86021721670829
-31.0,90.69297938558768
-30.9,69.26059184685289
-31.4,64.70986257315215
-30.9,90.7480012294427
-33.0,75.68711809271613
-33.1,89.70951010395947
-30.9,91.41734282292457
-31.9,73.99853385863713
-30.0,90.55853375932406
-30.4,83.7971898746564
-31.9,87.33620223456364
-29.5,91.14225530012891
-33.6,88.94921017968747
-31.1,90.33744536695585
-32.3,87.61272825871538
-33.1,89.47775400092375
-31.4,91.73493451166405
-32.9,88.13170937085096
-33.0,92.58894452717448
-31.2,88.96599470376535
-31.0,54.72184342689695
-30.8,87.52127575789382
-30.1,92.53998524120733
-29.7,91.11941484929412
-29.7,90.94221557131664
-30.2,59.059546521880776
-31.5,88.0507017336273
-29.4,91.28123908160595
-30.4,90.58557912524432
-31.9,90.98878758863248
-32.1,92.23012169906133
-31.6,86.19817888118268
-33.2,87.35784631836773
-33.5,91.97319295035804
-31.7,88.65769093315384
-28.8,84.18887211144397
-30.9,78.97771308200754
-31.5,90.33144318486666
-30.6,88.9144487893187
-31.6,90.86851401070729
-32.5,85.02131852991442
-31.1,92.81295474192439
-30.5,93.25325232910473
-31.6,74.37805212037028
-31.3,91.96242444431154
-32.1,92.22737490260556
-31.8,90.37923456988028
-32.0,89.86058571459006
-31.7,93.41154977057613
-32.2,90.63768785381944
-29.9,72.7774601498727
-30.3,94.72871781255526
-29.4,93.52355507998072
-30.1,88.95105810964924
-30.4,91.43880587249504
-31.6,91.37852381340963
-30.0,92.19483726490392
-31.2,91.45253335982125
-28.9,91.66154294731678
-31.9,90.30892834920087
-31.3,91.80041469412083
-30.6,85.01426660607524
-31.2,94.24534295002286
-30.7,90.40263447162306
-29.2,92.84815597573834
-31.7,91.77551622919724
-31.1,93.13094504627225
-30.2,89.44515808323013
-31.6,92.95729064683474
-31.9,92.86058637364859
-31.5,90.48986973139472
-30.3,92.89165565774374
-31.6,92.1575168011259
-31.3,92.41953232046131
-32.5,90.38580101610424
-33.3,91.93783131300006
-32.2,92.52629820393122
-30.8,91.41389147934935
-31.6,91.64748649671822
-31.7,92.92169661564162
-32.2,92.16740078520525
-30.9,90.87851011395605
-30.5,75.61414455352934
-29.9,91.37471224854926
-32.7,92.70428132871493
-30.9,91.80320532146834
-30.6,86.69518796432021
-31.3,90.35326808131504
-31.3,90.12043473550943
-32.6,91.35745079861385
-31.4,92.81544547199155
-30.4,91.599039030305
-32.2,89.93204917474759
-31.5,75.25227993048202
-30.8,92.08207452884199
-31.3,93.02175587454985
-32.2,74.95227775402554
-31.7,90.61549247886433
-30.5,90.66885246833408
-30.8,89.5701783911502
-31.4,90.55610299343061
-31.1,90.90451120550097
-31.0,86.55841424752725
-32.8,89.72021951945531
-30.1,91.24186414240035
-31.0,91.4661552572652
-30.8,90.25029320218891
-30.2,92.09860856387604
-33.0,89.98944241229674
-31.6,92.33054780337179
-29.2,91.34745608349294
-32.6,92.59965380731362
-30.5,90.27430816030392
-30.1,88.69209263145598
-29.9,86.6581266125977
-30.9,91.20359130321276
-31.1,89.8941351200665
-31.0,91.4527881409922
-31.3,92.73844901575649
-30.9,90.23544189613312
-31.1,93.58113909538952
-30.0,93.25956261016836
-29.8,90.20509520523228
-31.5,87.12430025619688
-31.1,91.75741488499625
-30.4,92.39707881889262
-31.7,91.46133864766898
-29.9,90.75329910248274
-29.5,89.33573160049855
-32.7,91.08155455937595
-31.4,92.43859779228296
-30.5,91.05194545327618
-30.1,91.24610812295396
-29.6,92.29981765300909
-29.1,93.37267885927577
-30.0,91.81706697538903
-29.8,91.66328243455666
-31.1,91.0150346731093
-30.4,91.8546541322321
-32.0,92.48801264516078
-30.4,90.83889331555974
-30.7,91.88646115316078
-29.7,92.74765297188424
-29.9,90.63032452215339
-31.9,91.44472175135252
-32.3,92.55451503478756
-30.6,92.60472667441354
-30.7,92.67402190405937
-30.4,91.5719404892825
-31.7,91.18243486810752
-30.5,90.8718167228144
-30.2,91.55997209455472
-30.7,92.25398136580407
-31.7,92.67747218778823
-32.4,91.87123968984088
-30.7,92.41899072547676
-32.8,92.98835182585754
-30.1,92.26643042601427
-31.9,91.9135940643946
-31.7,91.29212020721752
-31.2,92.94449006803188
-31.7,90.01448395812258
-30.3,90.19829797770944
-29.9,90.32743332486734
-29.7,90.02756480578682
-30.2,92.55278322292725
-32.1,92.14000650623348
-30.3,93.40566440855036
-30.2,92.05571505613625
-31.6,91.19953425368294
-32.4,90.16086628494668
-31.2,91.737438419098
-29.9,92.64258064341152
-31.9,91.09381249758235
-31.1,90.30995938665001
-30.3,93.55247164275352
-32.4,93.65025782308658
-32.2,90.27765486321732
-30.3,91.64362516556866
-31.1,92.66213481422164
-30.7,92.13849472087168
-30.0,91.87379272951148
-31.0,91.61438169772737
-30.3,89.02021344716377
-28.9,91.10657311928662
-29.7,92.01017453282839
-30.0,92.06436459200268
-31.9,92.91072685649306
-32.3,89.92085719495662
-29.7,92.16239451667366
-29.7,91.96864177158568
-30.7,92.31245264408062
-31.1,91.18341972038615
-29.2,90.58292734933275
-29.0,92.11038125265623
-30.8,93.04257953487286
-30.7,92.32160396347172
-31.2,91.97274707383622
-30.9,92.83313058252588
-30.8,91.5203636517108
-31.7,91.86062444384152
-30.2,89.53972866021832
-30.8,91.46789836655807
-31.7,92.4793187812902
-29.7,91.52670240368752
-30.3,90.88997754349332
-32.1,91.77560924482532
-32.8,93.19239529618062
-31.1,90.79345768095664
-30.7,92.31694317059373
-31.9,91.39183745871196
-31.7,92.49829565777327
-29.9,93.24061284703203
-31.2,91.4528091585089
-29.7,89.8898240457977
-30.4,92.57180384439744
-31.4,91.20725236668659
-31.7,91.39303941554681
-31.6,92.33059880218934
-31.2,92.80017907940783
-32.0,91.27355113901285
-29.7,90.84035873659741
-30.5,91.84147873718757
-31.2,92.43510788143438
-31.8,90.69580255495384
-30.0,92.2457370184461
-30.2,92.21140479340352
-32.4,90.85848386909356
-29.8,91.92259994946016
-30.5,91.97550495979158
-31.3,91.90922649288586
-30.8,92.46596873031922
-31.7,91.68778934833244
-29.4,92.41271855613104
-31.4,93.61937883985229
-30.4,92.06953527432051
-30.3,90.67763127303624
-29.9,92.7829222897708
-30.9,90.4276468034368
-30.2,91.9725751789374
-32.2,92.25039535178803
-31.3,93.37385850236751
-30.1,92.07752498262016
-31.3,91.4733890028001
-31.0,91.41765904059866
-31.1,92.72217438771622
-30.7,92.2181603970239
-33.1,91.51412647474626
-32.6,91.26214382454054
-31.6,92.21892299491446
-30.5,91.56203947300673
-30.2,91.65223789963056
-31.1,92.20835123214056
-31.3,91.58428746997379
-31.3,92.08567895903252
-30.6,91.61184846708784
-32.3,93.79087622003863
-30.7,91.74772600177675
